date,load_mw,wind_generation_mw,solar_generation_mw,renewable_total_mw,shortfall_mw,irradiance_wm2,wind_speed_10m_ms,temperature_2m_c,surplus_mw,coverage_pct,scenario
2017-01-04,63663.958333333336,37189.80416666667,720.7875,37910.59166666667,25753.36666666667,654.3201039924708,5.078139549060757,14.646025376142488,-25753.36666666667,59.54796506395888,best
2017-01-05,62553.708333333336,14178.612500000001,1169.83125,15348.44375,47205.26458333334,648.1177578308804,5.271426612577739,14.36241971632127,-47205.26458333334,24.53642503208909,best
2017-01-06,59851.208333333336,6268.166666666667,1875.5437500000003,8143.710416666667,51707.49791666667,651.1317594868459,5.424685699674405,13.812830381727998,-51707.49791666667,13.606593155665891,best
2017-01-07,56254.541666666664,13666.683333333334,471.71250000000003,14138.395833333334,42116.14583333333,657.8076127632531,5.25645936819841,14.264682688653407,-42116.14583333333,25.132896677231248,best
2017-01-08,51209.208333333336,2234.916666666667,280.63125,2515.547916666667,48693.660416666666,655.4378867963304,5.1050284625786055,14.604461465203634,-48693.660416666666,4.912296047016284,best
2017-01-09,63912.833333333336,10344.858333333334,397.74375000000003,10742.602083333333,53170.231250000004,654.3280784998034,5.421195080119253,14.853428799522243,-53170.231250000004,16.808208184584732,best
2017-01-10,65782.25,15186.7625,733.725,15920.487500000001,49861.7625,661.304814902397,5.494989333712013,14.212267126705294,-49861.7625,24.20179835745965,best
2017-01-11,66865.79166666667,34518.14166666667,415.125,34933.26666666667,31932.525,655.745784219068,5.880845141188019,14.38631080099252,-31932.525,52.24385413817105,best
2017-01-12,65496.041666666664,31676.233333333334,1004.9062500000001,32681.139583333334,32814.902083333334,661.8377438261933,5.8065284728186635,14.650003247834524,-32814.902083333334,49.897885050305206,best
2017-01-13,65505.583333333336,28091.59166666667,804.99375,28896.585416666672,36608.99791666666,665.3491705478417,5.048125232298351,15.562756520507712,-36608.99791666666,44.113164017825454,best
2017-01-14,56065.5,26389.350000000002,943.03125,27332.381250000002,28733.118749999998,661.6503307640677,5.76131282285995,15.332013036841682,-28733.118749999998,48.75080263263505,best
2017-01-15,52007.625,12445.875,905.85,13351.725,38655.9,668.976872401986,5.90626538497578,15.533070326211792,-38655.9,25.67262973458219,best
